caseNumber,reportedDate,offense,description
MP 2018 100690,2018-03-30T12:26:00.000Z,THEFT,Other Theft
MP 2018 998404,2018-03-30T12:45:00.000Z,THEFT,Other Theft
MP 2018 998403,2018-03-30T13:13:31.000Z,TFMV,Theft From Motr Vehc
MP 2018 100757,2018-03-30T13:27:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 998402,2018-03-30T13:28:43.000Z,THEFT,Other Theft
MP 2018 100734,2018-03-30T13:37:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 100776,2018-03-30T13:45:00.000Z,SHOPLF,Shoplifting
MP 2018 100779,2018-03-30T13:45:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 998401,2018-03-30T13:45:44.000Z,TFMV,Theft From Motr Vehc
MP 2018 100815,2018-03-30T13:50:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 100783,2018-03-30T14:30:00.000Z,CSCR,Crim Sex Cond-rape
MP 2018 100728,2018-03-30T14:48:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 998398,2018-03-30T15:21:48.000Z,THEFT,Other Theft
MP 2018 100898,2018-03-30T15:30:00.000Z,THEFT,Other Theft
MP 2018 100877,2018-03-30T16:10:00.000Z,SHOPLF,Shoplifting
MP 2018 100939,2018-03-30T16:48:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 100962,2018-03-30T17:00:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 101003,2018-03-30T18:55:00.000Z,THFTSW,Theft By Swindle
MP 2018 101140,2018-03-30T19:20:00.000Z,THEFT,Other Theft
MP 2018 101212,2018-03-30T20:40:00.000Z,THEFT,Other Theft
MP 2018 101301,2018-03-30T21:30:00.000Z,ASLT2,Asslt W/dngrs Weapon
MP 2018 101315,2018-03-30T22:00:00.000Z,ROBPAG,Robbery Per Agg
MP 2018 100922,2018-03-30T22:00:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 101350,2018-03-30T22:23:00.000Z,AUTOTH,Motor Vehicle Theft
